id,type,title,host,tags,mood_hint,duration,url,feature_text
p1,podcast,Mindfulness for Beginners,The Mindful Way,"mindfulness, wellness, focus",calm,1200,https://open.spotify.com/episode/1a,mindfulness basics for beginners and calmness
p2,podcast,Overcoming Anxiety,The Anxiety Coaches Podcast,"anxiety, mental health, relief",anxious,1800,https://open.spotify.com/episode/2b,coping mechanisms for anxiety relief
p3,podcast,The Daily Meditation Podcast,Mary Meckley,"meditation, daily routine, peace",stressed,1500,https://open.spotify.com/episode/3c,daily meditations for peace and stress control
p4,podcast,Unlocking Happiness,Positive Vibes Show,"positivity, happiness, motivation",happy,2100,https://open.spotify.com/episode/4d,boost mood with positivity and motivation
p5,podcast,Sleep Better Tonight,RelaxCast,"sleep, relaxation, calm",stressed,2400,https://open.spotify.com/episode/5e,guided relaxation and stories for better sleep
p6,podcast,Letâ€™s Meditate,The Calm Collective,"mindfulness, calmness, relax",calm,1800,https://open.spotify.com/episode/6f,daily meditation series for relaxation
p7,podcast,Healing Through Breath,Wellness Talks,"breathing, stress relief, healing",anxious,2000,https://open.spotify.com/episode/7g,healing and breathwork for emotional stability
p8,podcast,Joyful Living Podcast,Inspire Daily,"happiness, well-being, life lessons",happy,2100,https://open.spotify.com/episode/8h,practical guide to joyful living
p9,podcast,Managing Burnout,Workplace Wellbeing,"work stress, burnout, relax",stressed,2300,https://open.spotify.com/episode/9i,understanding and overcoming burnout
p10,podcast,Finding Balance,Inner Peace Hub,"mental balance, calm, focus",calm,1950,https://open.spotify.com/episode/10j,finding inner peace and maintaining focus
p11,podcast,Mindful Stress Management,Calm Minds Podcast,"stress, management, relaxation",stressed,1800,https://open.spotify.com/episode/11k,tips for managing stress mindfully
p12,podcast,Anxiety Relief Techniques,Wellness Talks,"anxiety, breath, calm",anxious,1500,https://open.spotify.com/episode/12l,breathing exercises to calm anxiety
p13,podcast,Positive Mindset,The Happiness Lab,"positivity, motivation, happiness",happy,2100,https://open.spotify.com/episode/13m,developing positive thinking habits
p14,podcast,Calm Your Day,Mindful Living Podcast,"mindfulness, calm, relaxation",calm,1800,https://open.spotify.com/episode/14n,meditation and tips for a calm day
p15,podcast,Recharge Your Energy,Motivation Daily,"energy, motivation, tired",tired,2000,https://open.spotify.com/episode/15o,podcast to boost energy and focus
p16,podcast,Overcoming Loneliness,ConnectCast,"loneliness, social, wellness",lonely,1900,https://open.spotify.com/episode/16p,coping strategies for feeling lonely
p17,podcast,Anger Management Insights,Peaceful Mind Show,"anger, management, stress",angry,1700,https://open.spotify.com/episode/17q,practical guidance to control anger
p18,podcast,Relaxation Techniques,Zen Time,"relaxation, calm, peace",relaxed,1800,https://open.spotify.com/episode/18r,podcast with techniques to relax deeply
p19,podcast,Gratitude Practices,Wellbeing Podcast,"gratitude, positivity, happiness",grateful,1600,https://open.spotify.com/episode/19s,ways to practice gratitude daily
p20,podcast,Managing Overwhelm,Inner Peace Talks,"overwhelmed, stress, relaxation",overwhelmed,1900,https://open.spotify.com/episode/20t,strategies to reduce overwhelm
p21,podcast,Fighting Boredom,Creative Minds Podcast,"boredom, creativity, fun",bored,1800,https://open.spotify.com/episode/21u,engaging content to overcome boredom
